Nodes;Dim;Test;Job;JobId;Alias;Feature;Worker;Duration
5;500;5;2;1485939535932_0031;C,multiplied_matrices;GROUP_BY,COMBINER;w3;305
5;500;5;2;1485939535932_0031;C,multiplied_matrices;GROUP_BY,COMBINER;w4;287
5;500;6;1;1485939535932_0032;A,B,matrix1,matrix2;HASH_JOIN;ma;115
5;500;6;1;1485939535932_0032;A,B,matrix1,matrix2;HASH_JOIN;w1;127
5;500;6;1;1485939535932_0032;A,B,matrix1,matrix2;HASH_JOIN;w2;109
5;500;6;1;1485939535932_0032;A,B,matrix1,matrix2;HASH_JOIN;w3;107
5;500;6;1;1485939535932_0032;A,B,matrix1,matrix2;HASH_JOIN;w4;107
5;500;6;2;1485939535932_0033;C,multiplied_matrices;GROUP_BY,COMBINER;ma;312
5;500;6;2;1485939535932_0033;C,multiplied_matrices;GROUP_BY,COMBINER;w1;304
5;500;6;2;1485939535932_0033;C,multiplied_matrices;GROUP_BY,COMBINER;w2;306
5;500;6;2;1485939535932_0033;C,multiplied_matrices;GROUP_BY,COMBINER;w3;304
5;500;6;2;1485939535932_0033;C,multiplied_matrices;GROUP_BY,COMBINER;w4;305
5;500;7;1;1485939535932_0034;A,B,matrix1,matrix2;HASH_JOIN;ma;127
5;500;7;1;1485939535932_0034;A,B,matrix1,matrix2;HASH_JOIN;w1;120
5;500;7;1;1485939535932_0034;A,B,matrix1,matrix2;HASH_JOIN;w2;143
5;500;7;1;1485939535932_0034;A,B,matrix1,matrix2;HASH_JOIN;w3;121
5;500;7;1;1485939535932_0034;A,B,matrix1,matrix2;HASH_JOIN;w4;128
5;500;7;2;1485939535932_0035;C,multiplied_matrices;GROUP_BY,COMBINER;ma;333
5;500;7;2;1485939535932_0035;C,multiplied_matrices;GROUP_BY,COMBINER;w1;333
5;500;7;2;1485939535932_0035;C,multiplied_matrices;GROUP_BY,COMBINER;w2;335
5;500;7;2;1485939535932_0035;C,multiplied_matrices;GROUP_BY,COMBINER;w3;348
5;500;7;2;1485939535932_0035;C,multiplied_matrices;GROUP_BY,COMBINER;w4;334
5;500;8;1;1485939535932_0036;A,B,matrix1,matrix2;HASH_JOIN;ma;138
5;500;8;1;1485939535932_0036;A,B,matrix1,matrix2;HASH_JOIN;w1;118
5;500;8;1;1485939535932_0036;A,B,matrix1,matrix2;HASH_JOIN;w2;118
5;500;8;1;1485939535932_0036;A,B,matrix1,matrix2;HASH_JOIN;w3;131
5;500;8;1;1485939535932_0036;A,B,matrix1,matrix2;HASH_JOIN;w4;134
5;500;8;2;1485939535932_0037;C,multiplied_matrices;GROUP_BY,COMBINER;ma;335
5;500;8;2;1485939535932_0037;C,multiplied_matrices;GROUP_BY,COMBINER;w1;335
5;500;8;2;1485939535932_0037;C,multiplied_matrices;GROUP_BY,COMBINER;w2;337
5;500;8;2;1485939535932_0037;C,multiplied_matrices;GROUP_BY,COMBINER;w3;335
5;500;8;2;1485939535932_0037;C,multiplied_matrices;GROUP_BY,COMBINER;w4;350
5;500;9;1;1485939535932_0038;A,B,matrix1,matrix2;HASH_JOIN;ma;117
5;500;9;1;1485939535932_0038;A,B,matrix1,matrix2;HASH_JOIN;w1;113
5;500;9;1;1485939535932_0038;A,B,matrix1,matrix2;HASH_JOIN;w2;112
5;500;9;1;1485939535932_0038;A,B,matrix1,matrix2;HASH_JOIN;w3;132
5;500;9;1;1485939535932_0038;A,B,matrix1,matrix2;HASH_JOIN;w4;110
5;500;9;2;1485939535932_0039;C,multiplied_matrices;GROUP_BY,COMBINER;ma;325
5;500;9;2;1485939535932_0039;C,multiplied_matrices;GROUP_BY,COMBINER;w1;324
5;500;9;2;1485939535932_0039;C,multiplied_matrices;GROUP_BY,COMBINER;w2;338
5;500;9;2;1485939535932_0039;C,multiplied_matrices;GROUP_BY,COMBINER;w3;326
5;500;9;2;1485939535932_0039;C,multiplied_matrices;GROUP_BY,COMBINER;w4;324
5;500;10;1;1485939535932_0040;A,B,matrix1,matrix2;HASH_JOIN;ma;116
5;500;10;1;1485939535932_0040;A,B,matrix1,matrix2;HASH_JOIN;w1;108
5;500;10;1;1485939535932_0040;A,B,matrix1,matrix2;HASH_JOIN;w2;108
5;500;10;1;1485939535932_0040;A,B,matrix1,matrix2;HASH_JOIN;w3;109
5;500;10;1;1485939535932_0040;A,B,matrix1,matrix2;HASH_JOIN;w4;128
5;500;10;2;1485939535932_0041;C,multiplied_matrices;GROUP_BY,COMBINER;ma;277
5;500;10;2;1485939535932_0041;C,multiplied_matrices;GROUP_BY,COMBINER;w1;277
5;500;10;2;1485939535932_0041;C,multiplied_matrices;GROUP_BY,COMBINER;w2;277
5;500;10;2;1485939535932_0041;C,multiplied_matrices;GROUP_BY,COMBINER;w3;291
5;500;10;2;1485939535932_0041;C,multiplied_matrices;GROUP_BY,COMBINER;w4;278
6;500;1;1;1485986378424_0022;A,B,matrix1,matrix2;HASH_JOIN;ma;108
6;500;1;1;1485986378424_0022;A,B,matrix1,matrix2;HASH_JOIN;w1;99
6;500;1;1;1485986378424_0022;A,B,matrix1,matrix2;HASH_JOIN;w2;99
6;500;1;1;1485986378424_0022;A,B,matrix1,matrix2;HASH_JOIN;w3;129
6;500;1;1;1485986378424_0022;A,B,matrix1,matrix2;HASH_JOIN;w4;99
6;500;1;1;1485986378424_0022;A,B,matrix1,matrix2;HASH_JOIN;w5;107
6;500;1;2;1485986378424_0023;C,multiplied_matrices;GROUP_BY,COMBINER;ma;288
6;500;1;2;1485986378424_0023;C,multiplied_matrices;GROUP_BY,COMBINER;w1;280
6;500;1;2;1485986378424_0023;C,multiplied_matrices;GROUP_BY,COMBINER;w2;280
6;500;1;2;1485986378424_0023;C,multiplied_matrices;GROUP_BY,COMBINER;w3;282
6;500;1;2;1485986378424_0023;C,multiplied_matrices;GROUP_BY,COMBINER;w4;280
6;500;1;2;1485986378424_0023;C,multiplied_matrices;GROUP_BY,COMBINER;w5;281
6;500;2;1;1485986378424_0024;A,B,matrix1,matrix2;HASH_JOIN;ma;94
6;500;2;1;1485986378424_0024;A,B,matrix1,matrix2;HASH_JOIN;w1;95
6;500;2;1;1485986378424_0024;A,B,matrix1,matrix2;HASH_JOIN;w2;96
6;500;2;1;1485986378424_0024;A,B,matrix1,matrix2;HASH_JOIN;w3;124
6;500;2;1;1485986378424_0024;A,B,matrix1,matrix2;HASH_JOIN;w4;109
6;500;2;1;1485986378424_0024;A,B,matrix1,matrix2;HASH_JOIN;w5;94
6;500;2;2;1485986378424_0025;C,multiplied_matrices;GROUP_BY,COMBINER;ma;306
6;500;2;2;1485986378424_0025;C,multiplied_matrices;GROUP_BY,COMBINER;w1;305
6;500;2;2;1485986378424_0025;C,multiplied_matrices;GROUP_BY,COMBINER;w2;325
6;500;2;2;1485986378424_0025;C,multiplied_matrices;GROUP_BY,COMBINER;w3;307
6;500;2;2;1485986378424_0025;C,multiplied_matrices;GROUP_BY,COMBINER;w4;306
6;500;2;2;1485986378424_0025;C,multiplied_matrices;GROUP_BY,COMBINER;w5;306
6;500;3;1;1485986378424_0026;A,B,matrix1,matrix2;HASH_JOIN;ma;98
6;500;3;1;1485986378424_0026;A,B,matrix1,matrix2;HASH_JOIN;w1;99
6;500;3;1;1485986378424_0026;A,B,matrix1,matrix2;HASH_JOIN;w2;98
6;500;3;1;1485986378424_0026;A,B,matrix1,matrix2;HASH_JOIN;w3;127
6;500;3;1;1485986378424_0026;A,B,matrix1,matrix2;HASH_JOIN;w4;99
6;500;3;1;1485986378424_0026;A,B,matrix1,matrix2;HASH_JOIN;w5;112
6;500;3;2;1485986378424_0027;C,multiplied_matrices;GROUP_BY,COMBINER;ma;277
6;500;3;2;1485986378424_0027;C,multiplied_matrices;GROUP_BY,COMBINER;w1;276
6;500;3;2;1485986378424_0027;C,multiplied_matrices;GROUP_BY,COMBINER;w2;276
6;500;3;2;1485986378424_0027;C,multiplied_matrices;GROUP_BY,COMBINER;w3;278
6;500;3;2;1485986378424_0027;C,multiplied_matrices;GROUP_BY,COMBINER;w4;277
6;500;3;2;1485986378424_0027;C,multiplied_matrices;GROUP_BY,COMBINER;w5;292
6;500;4;1;1485986378424_0028;A,B,matrix1,matrix2;HASH_JOIN;ma;84
6;500;4;1;1485986378424_0028;A,B,matrix1,matrix2;HASH_JOIN;w1;84
6;500;4;1;1485986378424_0028;A,B,matrix1,matrix2;HASH_JOIN;w2;99
6;500;4;1;1485986378424_0028;A,B,matrix1,matrix2;HASH_JOIN;w3;84
6;500;4;1;1485986378424_0028;A,B,matrix1,matrix2;HASH_JOIN;w4;114
6;500;4;1;1485986378424_0028;A,B,matrix1,matrix2;HASH_JOIN;w5;86
